GeneralFileSize,GeneralDuration,GeneralOverallBitRate,GeneralFrameRate,GeneralFrameCount,GeneralStreamSize,GeneralStreamSizeProportion,GeneralDataSize,GeneralFooterSize,VideoDuration,VideoSourceDuration,VideoBitRate,VideoFrameRate,VideoFrameCount,VideoBits(Pixel*Frame),VideoStreamSize,VideoStreamSizeProportion,NR,KeyInt,KeyIntMin,QP,AudioDuration,AudioBitRate,AudioFrameCount,AudioStreamSize,AudioStreamSizeProportion,VideoOctetsReceived,VideoPacketsreceived,VideoPacketsLost,VideoPacketLossRate,AudioOctetsReceived,AudioPacketsReceived,AudioPacketsLost,AudioPacketLossRate,MOS
2894214,42894,539789,10,429,56204,0.01942,2838018,56168,42894,42886,504855,10,429,0.055,2707287,0.93541,0,100,10,23,42892,24382,2143,130723,0.04517,2713422,2596,1,0.04,132804,2142,2,0.09,4.10344827586
2789506,42893,520272,10,423,56096,0.02011,2733418,56060,42893,42885,492315,10,423,0.053,2603114,0.93318,0,100,10,23,42891,24303,2136,130296,0.04671,2704487,2585,12,0.46,132370,2135,9,0.42,2.81481481481
2901312,42892,541138,10,430,57484,0.01981,2843836,57448,42892,42883,504741,10,430,0.055,2712983,0.93509,0,100,10,23,42891,24405,2145,130845,0.0451,2713571,2597,0,0.0,132928,2144,0,0.0,4.10344827586
2627715,42892,490108,10,405,56724,0.02159,2570999,56688,42892,42883,482257,10,405,0.052,2441427,0.92911,0,100,10,23,42891,24166,2124,129564,0.04931,2678988,2565,32,1.23,131626,2123,21,0.98,1.73214285714
2230375,42894,415979,10,348,52728,0.02364,2177655,52692,42894,42885,472170,10,348,0.051,2053939,0.92089,0,100,10,23,42891,23074,2028,123708,0.05547,2592686,2484,109,4.2,125674,2027,117,5.46,1.15
2319611,42892,432642,10,430,54300,0.02341,2265319,54264,42892,42883,397155,10,430,0.043,2134710,0.92029,999,100,10,23,42891,24360,2141,130601,0.0563,2134458,2177,0,0.0,132680,2140,4,0.19,3.94827586207
2211225,42891,412436,10,420,54176,0.0245,2157057,54140,42891,42882,386071,10,420,0.042,2026875,0.91663,999,100,10,23,42890,24281,2134,130174,0.05887,2121162,2165,12,0.55,132246,2133,11,0.51,3.20833333333
2321591,42893,433001,10,430,56036,0.02414,2265563,56000,42893,42886,397155,10,430,0.043,2134710,0.9195,999,100,10,23,42893,24404,2145,130845,0.05636,2134458,2177,0,0.0,132928,2144,0,0.0,3.8
2187573,42892,408015,10,416,54512,0.02492,2133069,54476,42892,42884,385347,10,416,0.042,2003802,0.91599,999,100,10,23,42890,24110,2119,129259,0.05909,2115815,2159,18,0.83,131316,2118,26,1.21,2.0
1680967,42893,313518,10,343,53364,0.03175,1627611,53328,42893,42884,350535,10,343,0.038,1502919,0.89408,999,100,10,23,42892,23255,2044,124684,0.07417,2012547,2062,115,5.28,126666,2043,101,4.71,1.25
1411254,42893,263214,10,429,56860,0.04029,1354402,56824,42893,42886,228168,10,429,0.025,1223549,0.86699,0,100,10,27,42892,24405,2145,130845,0.09272,1222834,1540,2,0.13,132928,2144,0,0.0,3.18965517241
1351522,42892,252079,10,423,56240,0.04161,1295290,56204,42892,42884,220294,10,423,0.024,1164803,0.86185,0,100,10,27,42891,24337,2139,130479,0.09654,1217793,1532,10,0.65,132556,2138,6,0.28,2.61111111111
1412598,42893,263465,10,430,55988,0.03963,1356618,55952,42893,42885,228049,10,430,0.025,1225765,0.86774,0,100,10,27,42893,24404,2145,130845,0.09263,1224224,1542,0,0.0,132928,2144,0,0.0,3.48275862069
1397863,42891,260728,10,425,55980,0.04005,1341891,55944,42891,42883,228155,10,425,0.025,1212075,0.86709,0,100,10,27,42891,24212,2128,129808,0.09286,1218510,1529,13,0.84,131874,2127,17,0.79,2.24137931034
1166531,42894,217565,10,386,54840,0.04701,1111699,54804,42894,42887,204599,10,386,0.022,987190,0.84626,0,100,10,27,42893,23221,2041,124501,0.10673,1163447,1468,74,4.8,126480,2040,104,4.85,1.25
1256751,42893,234397,10,428,56820,0.04521,1199939,56784,42893,42885,199863,10,428,0.022,1069269,0.85082,999,100,10,27,42893,24370,2142,130662,0.10397,1070375,1443,2,0.14,132742,2141,3,0.14,2.39285714286
1207875,42891,225292,10,426,57080,0.04726,1150803,57044,42891,42883,191677,10,426,0.021,1020682,0.84502,999,100,10,27,42890,24269,2133,130113,0.10772,1066801,1440,5,0.35,132184,2132,12,0.56,2.27777777778
1260746,42893,235143,10,430,55916,0.04435,1204838,55880,42893,42885,199811,10,430,0.022,1073985,0.85186,999,100,10,27,42892,24405,2145,130845,0.10378,1072220,1445,0,0.0,132928,2144,0,0.0,3.5
1192421,42893,222399,10,421,56504,0.04739,1135925,56468,42893,42887,191243,10,421,0.021,1006414,0.84401,999,100,10,27,42893,24154,2123,129503,0.10861,1061701,1431,14,0.97,131564,2122,22,1.03,2.39130434783
1086934,42894,202720,10,394,54996,0.0506,1031946,54960,42894,42886,184288,10,394,0.02,907620,0.83503,999,100,10,27,42893,23187,2038,124318,0.11437,1033252,1379,66,4.57,126294,2037,107,4.99,1.55
865081,42892,161351,10,430,57116,0.06602,807973,57080,42892,42886,125999,10,430,0.014,677242,0.78287,0,100,10,31,42891,24382,2143,130723,0.15111,674516,1094,0,0.0,132804,2142,2,0.09,3.24137931034
859821,42891,160373,10,427,57108,0.06642,802721,57072,42891,42887,125968,10,427,0.014,672356,0.78197,0,100,10,31,42891,24314,2137,130357,0.15161,671468,1090,4,0.37,132432,2136,8,0.37,3.15
863851,42892,161121,10,430,55764,0.06455,808095,55728,42892,42888,125999,10,430,0.014,677242,0.78398,0,100,10,31,42891,24405,2145,130845,0.15147,674516,1094,0,0.0,132928,2144,0,0.0,3.36206896552
860736,42892,160540,10,429,55948,0.065,804796,55912,42892,42885,125905,10,429,0.014,675163,0.7844,0,100,10,31,42892,24177,2125,129625,0.1506,673114,1086,8,0.73,131688,2124,20,0.93,3.3275862069
697932,42893,130172,10,397,54916,0.07868,643024,54880,42893,42885,104388,10,397,0.011,518027,0.74223,0,100,10,31,42892,23312,2049,124989,0.17908,637215,1032,62,5.67,126976,2048,96,4.48,1.56666666667
799085,42893,149038,10,428,56768,0.07104,742325,56732,42893,42887,114351,10,428,0.012,611777,0.7656,999,100,10,31,42892,24348,2140,130540,0.16336,639581,1050,3,0.28,132618,2139,5,0.23,2.85
827579,42892,154356,10,428,56940,0.0688,770647,56904,42892,42885,119747,10,428,0.013,640648,0.77412,999,100,10,31,42891,24246,2131,129991,0.15707,640593,1047,6,0.57,132060,2130,14,0.65,2.25
831545,42893,155092,10,430,56844,0.06836,774709,56808,42893,42888,119787,10,430,0.013,643856,0.77429,999,100,10,31,42892,24405,2145,130845,0.15735,641007,1053,0,0.0,132928,2144,0,0.0,3.1724137931
795034,42893,148282,10,425,56040,0.07049,739002,56004,42893,42885,114659,10,425,0.012,609125,0.76616,999,100,10,31,42892,24223,2129,129869,0.16335,635163,1045,8,0.76,131936,2128,16,0.75,2.53333333333
737602,42893,137571,10,407,55132,0.07474,682478,55096,42893,42885,109603,10,407,0.012,557603,0.75597,999,100,10,31,42891,23290,2047,124867,0.16929,614208,1012,41,3.89,126852,2046,98,4.57,1.70689655172
601710,42891,112231,10,430,55588,0.09238,546130,55552,42891,42884,77284,10,430,0.008,415399,0.69036,0,100,10,35,42891,24382,2143,130723,0.21725,412256,941,0,0.0,132804,2142,2,0.09,3.0
599980,42893,111903,10,428,55620,0.0927,544368,55584,42893,42886,77407,10,428,0.008,414125,0.69023,0,100,10,35,42893,24290,2135,130235,0.21707,410994,938,3,0.32,132308,2134,10,0.47,3.03448275862
602648,42893,112400,10,430,56404,0.09359,546252,56368,42893,42886,77284,10,430,0.008,415399,0.68929,0,100,10,35,42892,24405,2145,130845,0.21712,412256,941,0,0.0,132928,2144,0,0.0,2.875
579419,42893,108068,10,426,56256,0.09709,523171,56220,42893,42887,73915,10,426,0.008,393599,0.6793,0,100,10,35,42893,24165,2124,129564,0.22361,408501,934,7,0.74,131626,2123,21,0.98,2.35
527480,42893,98381,10,413,54960,0.10419,472528,54924,42893,42886,67259,10,413,0.007,347226,0.65827,0,100,10,35,42892,23369,2054,125294,0.23753,394492,901,40,4.25,127286,2053,91,4.24,1.46551724138
595197,42891,111016,10,428,55812,0.09377,539393,55776,42891,42885,76374,10,428,0.008,408601,0.6865,999,100,10,35,42891,24394,2144,130784,0.21973,405463,938,2,0.21,132866,2143,1,0.05,2.95
592416,42892,110494,10,425,55732,0.09408,536692,55696,42892,42885,76554,10,425,0.008,406693,0.6865,999,100,10,35,42891,24246,2131,129991,0.21943,403571,934,6,0.64,132060,2130,14,0.65,2.38888888889
597318,42894,111404,10,430,56348,0.09434,540978,56312,42894,42887,76302,10,430,0.008,410125,0.68661,999,100,10,35,42893,24404,2145,130845,0.21905,406979,940,0,0.0,132928,2144,0,0.0,2.85
590554,42893,110145,10,425,55436,0.09387,535126,55400,42893,42885,76397,10,425,0.008,405859,0.68725,999,100,10,35,42892,24109,2119,129259,0.21888,402808,931,9,0.96,131316,2118,26,1.21,2.8275862069
514795,42894,96012,10,402,54928,0.1067,459875,54892,42894,42887,66679,10,402,0.007,335061,0.65086,999,100,10,35,42893,23278,2046,124806,0.24244,383910,885,55,5.85,126790,2045,99,4.62,1.71666666667
3724882,42893,694730,15,641,59852,0.01607,3665038,59816,42861,42852,661660,15,641,0.048,3534368,0.94885,0,150,15,23,42893,24370,2142,130662,0.03508,3548849,3529,4,0.11,132742,2141,3,0.14,2.32142857143
3535527,42893,659413,15,628,58444,0.01653,3477091,58408,42862,42854,639583,15,628,0.046,3347153,0.94672,0,150,15,23,42893,24233,2130,129930,0.03675,3532180,3511,22,0.62,131998,2129,15,0.7,2.73076923077
3741792,42893,697884,15,644,59196,0.01582,3682604,59160,42861,42854,661817,15,644,0.048,3551751,0.94921,0,150,15,23,42893,24404,2145,130845,0.03497,3551857,3533,0,0.0,132928,2144,0,0.0,4.53571428571
3580405,42892,667799,15,625,58328,0.01629,3522085,58292,42860,42853,651339,15,625,0.047,3392391,0.94749,0,150,15,23,42892,24188,2126,129686,0.03622,3527528,3507,26,0.74,131750,2125,19,0.89,2.23214285714
2715000,42894,506365,15,501,55660,0.0205,2659348,55624,42860,42851,607191,15,501,0.044,2535022,0.93371,0,150,15,23,42894,23186,2038,124318,0.04579,3342632,3333,200,5.66,126294,2037,107,4.99,1.16666666667
2969306,42891,553833,15,644,61028,0.02055,2908286,60992,42858,42849,517580,15,644,0.037,2777677,0.93546,999,150,15,23,42891,24360,2141,130601,0.04398,2776671,2977,0,0.0,132680,2140,4,0.19,4.38888888889
2930931,42893,546650,15,635,59908,0.02044,2871031,59872,42860,42854,517979,15,635,0.037,2740971,0.93519,999,150,15,23,42893,24256,2132,130052,0.04437,2766064,2967,10,0.34,132122,2131,13,0.61,3.19642857143
2968750,42891,553729,15,644,60228,0.02029,2908530,60192,42858,42849,517580,15,644,0.037,2777677,0.93564,999,150,15,23,42891,24405,2145,130845,0.04407,2776671,2977,0,0.0,132928,2144,0,0.0,4.26666666667
2819220,42892,525827,15,622,59048,0.02094,2760180,59012,42859,42851,507560,15,622,0.037,2630852,0.93318,999,150,15,23,42892,24120,2120,129320,0.04587,2751107,2943,34,1.14,131378,2119,25,1.17,2.64
2330276,42891,434641,15,551,56188,0.02411,2274096,56152,42859,42850,468203,15,551,0.034,2149831,0.92256,999,150,15,23,42891,23176,2037,124257,0.05332,2640742,2839,138,4.64,126232,2036,108,5.04,1.1724137931
1737276,42894,324013,15,644,62132,0.03576,1675152,62096,42860,42852,287780,15,644,0.021,1544421,0.88899,0,150,15,27,42894,24381,2143,130723,0.07525,1541636,2121,0,0.0,132804,2142,2,0.09,4.12068965517
1715136,42892,319899,15,634,61228,0.0357,1653916,61192,42858,42849,288415,15,634,0.021,1523795,0.88844,0,150,15,27,42892,24268,2133,130113,0.07586,1531178,2109,12,0.57,132184,2132,12,0.56,3.88461538462
1736958,42895,323946,15,644,61692,0.03552,1675274,61656,42861,42853,287780,15,644,0.021,1544421,0.88915,0,150,15,27,42895,24403,2145,130845,0.07533,1541636,2121,0,0.0,132928,2144,0,0.0,4.21428571429
1647161,42891,307227,15,622,61576,0.03738,1585593,61540,42792,42787,280857,15,622,0.02,1455777,0.88381,0,150,15,27,42891,24212,2128,129808,0.07881,1516570,2090,30,1.42,131874,2127,17,0.79,1.85
1404360,42873,262050,15,554,58792,0.04186,1345576,58756,42859,42853,264306,15,554,0.019,1220213,0.86887,0,150,15,27,42873,23391,2055,125355,0.08926,1443632,1999,122,5.75,127348,2054,89,4.15,1.27586206897
1534417,42892,286192,15,644,62644,0.04083,1471781,62608,42859,42855,249896,15,644,0.018,1341111,0.87402,999,150,15,27,42892,24370,2142,130662,0.08515,1337971,1981,0,0.0,132742,2141,3,0.14,4.05
1532547,42894,285830,15,643,61668,0.04024,1470887,61632,42860,42851,250130,15,643,0.018,1340278,0.87454,999,150,15,27,42894,24358,2141,130601,0.08522,1337146,1979,2,0.1,132680,2140,4,0.19,4.07692307692
1534216,42895,286134,15,644,62260,0.04058,1471964,62224,42861,42853,249896,15,644,0.018,1341111,0.87413,999,150,15,27,42895,24403,2145,130845,0.08528,1337971,1981,0,0.0,132928,2144,0,0.0,3.93103448276
1460215,42896,272327,15,630,62072,0.04251,1398151,62036,42862,42854,241553,15,630,0.017,1268152,0.86847,999,150,15,27,42896,24243,2131,129991,0.08902,1324564,1960,21,1.06,132060,2130,14,0.65,2.26785714286
1392541,42873,259845,15,598,59064,0.04241,1333485,59028,42860,42851,242677,15,598,0.018,1209342,0.86844,999,150,15,27,42873,23163,2035,124135,0.08914,1293437,1901,80,4.04,126108,2034,109,5.09,1.6724137931
1033160,42893,192695,15,643,63596,0.06155,969572,63560,42859,42851,156537,15,643,0.011,838780,0.81186,0,150,15,31,42893,24393,2144,130784,0.12659,834275,1495,2,0.13,132866,2143,1,0.05,3.48275862069
998864,42892,186303,15,641,63168,0.06324,935704,63132,42858,42853,150845,15,641,0.011,805766,0.80668,0,150,15,31,42892,24234,2130,129930,0.13008,833299,1492,5,0.33,131998,2129,15,0.7,3.40740740741
1033928,42892,192843,15,644,63316,0.06124,970620,63280,42858,42851,156478,15,644,0.011,839767,0.81221,0,150,15,31,42892,24405,2145,130845,0.12655,835254,1497,0,0.0,132928,2144,0,0.0,3.66071428571
1017848,42893,189839,15,632,62652,0.06155,955204,62616,42859,42852,156731,15,632,0.011,825449,0.81097,0,150,15,31,42893,24199,2127,129747,0.12747,822223,1480,17,1.14,131812,2126,18,0.84,3.36206896552
893241,42892,166603,15,605,59112,0.06618,834137,59076,42858,42851,140801,15,605,0.01,709872,0.79471,0,150,15,31,42892,23176,2037,124257,0.13911,797731,1432,65,4.34,126232,2036,108,5.04,1.58333333333
992497,42894,185107,15,643,63676,0.06416,928829,63640,42860,42853,148945,15,643,0.011,798098,0.80413,999,150,15,31,42894,24381,2143,130723,0.13171,793505,1461,4,0.27,132804,2142,2,0.09,3.21666666667
987723,42894,184217,15,639,63068,0.06385,924663,63032,42859,42853,149267,15,639,0.011,794847,0.80473,999,150,15,31,42894,24210,2128,129808,0.13142,790266,1458,7,0.48,131874,2127,17,0.79,3.31034482759
993731,42892,185346,15,644,63868,0.06427,929871,63832,42858,42851,148885,15,644,0.011,799018,0.80406,999,150,15,31,42892,24405,2145,130845,0.13167,794409,1465,0,0.0,132928,2144,0,0.0,3.57142857143
951992,42892,177561,15,634,62992,0.06617,889008,62956,42858,42853,143707,15,634,0.01,759253,0.79754,999,150,15,31,42892,24200,2127,129747,0.13629,785323,1450,15,1.02,131812,2126,18,0.84,2.41379310345
882151,42893,164531,15,605,59524,0.06748,822635,59488,42859,42853,138471,15,605,0.01,698126,0.79139,999,150,15,31,42893,23221,2041,124501,0.14113,755481,1397,68,4.64,126480,2040,104,4.85,2.03703703704
707491,42894,131952,15,644,64276,0.09085,643223,64240,42860,42855,95495,15,644,0.007,512492,0.72438,0,150,15,35,42894,24381,2143,130723,0.18477,507605,1361,3,0.22,132804,2142,2,0.09,3.22413793103
705595,42892,131604,15,641,64140,0.0909,641463,64104,42858,42852,95659,15,641,0.007,510976,0.72418,0,150,15,35,42892,24336,2139,130479,0.18492,506122,1360,4,0.29,132556,2138,6,0.28,3.01666666667
707209,42892,131905,15,644,63860,0.0903,643357,63824,42859,42852,95498,15,644,0.007,512504,0.72469,0,150,15,35,42892,24405,2145,130845,0.18502,507634,1364,0,0.0,132928,2144,0,0.0,3.18965517241
700644,42892,130681,15,637,62772,0.08959,637880,62736,42859,42851,95734,15,637,0.007,508186,0.72531,0,150,15,35,42892,24188,2126,129686,0.1851,503392,1345,19,1.39,131750,2125,19,0.89,3.0
657546,42891,122645,15,613,59944,0.09116,597610,59908,42858,42851,92399,15,613,0.007,472003,0.71783,0,150,15,35,42891,23427,2059,125599,0.19101,484985,1304,60,4.4,127596,2058,86,4.01,1.25
699396,42892,130448,15,642,64452,0.09215,634952,64416,42859,42853,94236,15,642,0.007,504160,0.72085,999,150,15,35,42892,24393,2144,130784,0.187,499303,1359,4,0.29,132866,2143,1,0.05,2.79310344828
678145,42891,126487,15,640,63384,0.09347,614769,63348,42857,42851,90849,15,640,0.007,484526,0.71449,999,150,15,35,42891,24291,2135,130235,0.19205,496070,1354,9,0.66,132308,2134,10,0.47,3.05172413793
701226,42892,130789,15,644,64588,0.09211,636646,64552,42858,42851,94247,15,644,0.007,505793,0.7213,999,150,15,35,42892,24405,2145,130845,0.18659,500920,1363,0,0.0,132928,2144,0,0.0,3.2
675300,42893,125951,15,636,63168,0.09354,612140,63132,42795,42789,91051,15,636,0.007,482568,0.7146,999,150,15,35,42893,24165,2124,129564,0.19186,493969,1351,11,0.81,131626,2123,21,0.98,2.85185185185
